make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Kia Sorento EX,2003,None,excellent,6 cylinders,4wd,gas,None,179000,compact,clean,automatic,SUV,4000
honda accord 4-door sedan,2005,None,None,4 cylinders,fwd,gas,green,None,None,salvage,automatic,None,5400
Toyota 22re,1991,None,None,None,None,gas,None,215000,None,clean,manual,None,2000
volkswagen karmann ghia,1968,None,None,None,None,gas,None,None,None,clean,manual,None,1000
saab 9.3,1999,None,good,None,None,gas,silver,None,None,clean,manual,hatchback,1700
Toyota Camry SE,2009,None,None,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,1500
mazda protege 5,2002,None,excellent,4 cylinders,fwd,gas,red,179000,mid-size,clean,automatic,hatchback,2500
subaru forester,2003,JF1SG63673H712203,good,4 cylinders,4wd,gas,green,245000,None,clean,automatic,hatchback,3995
subaru impreza,2008,JF1GH61618H812651,excellent,4 cylinders,4wd,gas,white,138000,compact,clean,automatic,hatchback,8000
B1500,2003,None,excellent,8 cylinders,rwd,gas,green,49000,full-size,clean,automatic,van,5500
vw beetle,1998,None,fair,4 cylinders,fwd,gas,grey,178394,compact,clean,automatic,coupe,500
ford Bronco,1972,None,None,None,None,gas,None,None,None,clean,manual,None,25000
GMC 1/2 ton,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,895
ford f-150,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,2995
MG B,1967,None,None,None,None,gas,None,None,None,clean,manual,None,6700
chevrolet suburban,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,395
ford f-250,1983,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,pickup,800
ford taurus ses,2000,None,fair,None,None,gas,white,185000,full-size,clean,automatic,sedan,1800
Jeep Cherokee Classic,1999,None,excellent,None,None,gas,None,203000,None,clean,automatic,None,3000
Chevy astro van,1994,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,mini-van,1000
Ford F250,2011,None,None,8 cylinders,None,gas,white,None,full-size,lien,automatic,truck,11500
FORD,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,1
BUICK,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
CAMRY SE,2009,None,excellent,4 cylinders,None,gas,None,None,full-size,clean,automatic,sedan,1500
Lexus 400 LS,1997,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,2800
ford ranger,2004,None,like new,3 cylinders,None,gas,grey,101065,full-size,clean,automatic,truck,5350
CHEVROLET K1500,1993,1GBEK14KXPZ190661,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,pickup,850
Dodge Stratus SXT,2006,None,good,4 cylinders,fwd,gas,blue,178,None,clean,automatic,sedan,1200
CHEVROLET  C 30,1983,None,good,8 cylinders,rwd,gas,custom,45000,None,clean,automatic,other,10900
Isuzu Trooper S,1993,JACDH58V1P7908299,good,6 cylinders,4wd,gas,blue,222000,full-size,clean,manual,SUV,2100
FORD F-150,2006,1FTPX14506FB07058,good,8 cylinders,4wd,gas,black,90000,full-size,clean,automatic,None,12999
Chevy traverse,2012,None,excellent,6 cylinders,4wd,gas,silver,127234,full-size,clean,automatic,None,11000
nissan quest,1999,None,None,6 cylinders,fwd,gas,green,None,None,clean,automatic,mini-van,500
mitsubishi mirage,2002,None,good,4 cylinders,None,gas,blue,160650,compact,clean,automatic,coupe,1950
honda cr-v,1998,None,fair,4 cylinders,4wd,gas,red,238451,compact,clean,automatic,SUV,1500
ford f150 4wd,2006,None,like new,8 cylinders,4wd,gas,silver,83500,full-size,clean,automatic,truck,17500
Ford F250,1977,None,None,None,None,gas,None,None,None,clean,automatic,None,1650
Jeep Wrangler TJ,1999,1J4FY29P9XP476192,excellent,4 cylinders,4wd,gas,white,120000,None,clean,manual,offroad,8500
Toyota Pickup,1991,None,good,6 cylinders,4wd,gas,red,311000,mid-size,clean,manual,pickup,3750
chevrolet corvette 2dr cpe,1984,None,fair,8 cylinders,None,gas,black,90000,None,clean,automatic,None,5800
Toyota pick,1989,None,fair,6 cylinders,4wd,gas,black,279000,mid-size,clean,manual,pickup,700
honda hrv-lx,2017,None,like new,4 cylinders,4wd,gas,blue,4600,compact,clean,automatic,hatchback,21200
Cadillac DTS,2008,1G6KD57Y78U190098,excellent,8 cylinders,fwd,gas,silver,130300,full-size,clean,automatic,sedan,6500
Chevrolet Scottsdale,1994,None,fair,None,fwd,gas,grey,96993,mid-size,clean,automatic,truck,1600
vw passat glx,2002,None,good,6 cylinders,None,gas,blue,146000,None,clean,automatic,wagon,2000
Plymouth Voyager LE,1990,None,good,6 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,mini-van,1100
Ford F-150 Ranger,1978,None,None,None,None,gas,None,None,None,clean,manual,None,3500
Chevy Silverado 2500 ext cab,1989,None,fair,8 cylinders,4wd,gas,white,None,full-size,clean,manual,truck,1200
Chevy Silverado 2500 ext cab,1989,None,fair,8 cylinders,4wd,gas,white,None,full-size,clean,manual,truck,1200
lexus es 300,1999,Jt8bf28g9w5015952,good,6 cylinders,fwd,gas,white,238066,full-size,clean,automatic,sedan,1800
Mercy cougar,1988,None,fair,8 cylinders,rwd,gas,black,167000,mid-size,clean,automatic,coupe,1500
ford windstar,1995,None,good,6 cylinders,fwd,gas,brown,88000,mid-size,clean,automatic,None,600
Mercedes SL550 AMG,2004,Wdbsk74f54f071674,excellent,8 cylinders,rwd,gas,custom,79990,full-size,clean,automatic,convertible,19500
