make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Lincoln Towncar,1998,Car fax available,excellent,8 cylinders,rwd,gas,None,145333,None,clean,automatic,sedan,2400
gmc sierra 1500,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
Nissan Versa,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
DODGE RAM 50,1990,None,good,4 cylinders,rwd,gas,white,87057,mid-size,clean,automatic,truck,1975
Datsun 280ZX,1980,None,good,6 cylinders,rwd,gas,None,None,None,clean,manual,None,2800
bmw 325i,2001,None,good,6 cylinders,None,gas,silver,145000,None,clean,automatic,None,1
toyota highlander hybrid,2008,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,16400
Honda Civic dx,2005,None,None,None,None,gas,None,None,None,rebuilt,manual,None,3900
Toyota Scion IM,2016,jtnkarje6gj513502,excellent,4 cylinders,fwd,gas,white,17034,mid-size,clean,automatic,hatchback,12500
Toyota Corolla CE,2007,None,good,4 cylinders,None,gas,blue,132382,compact,clean,automatic,sedan,5000
F 100,1956,None,excellent,6 cylinders,rwd,gas,custom,None,full-size,clean,manual,pickup,22500
F150,2014,None,like new,8 cylinders,4wd,gas,grey,14,full-size,clean,automatic,truck,26000
ford f-250,1995,None,like new,8 cylinders,4wd,gas,green,160000,full-size,clean,automatic,truck,8450
hyundai sonata,2005,None,None,4 cylinders,fwd,gas,None,None,None,rebuilt,manual,None,2000
Bmw X5,2001,None,None,6 cylinders,4wd,gas,black,167000,None,clean,automatic,None,4100
volkswagen jetta,1998,None,good,4 cylinders,fwd,diesel,white,247000,compact,clean,manual,sedan,1600
vw,1987,None,None,None,None,gas,None,None,None,clean,manual,None,1800
Mazda 3 Touring,2016,None,excellent,4 cylinders,fwd,gas,blue,21500,compact,clean,automatic,hatchback,17750
ford econoline e250,1992,None,good,8 cylinders,rwd,gas,white,276000,full-size,clean,automatic,van,1200
Isuzu pup pickup,1982,None,good,None,None,diesel,white,89000,None,clean,manual,pickup,2800
lexus ls 430 4dr sedan,2003,None,excellent,8 cylinders,rwd,gas,grey,117,full-size,clean,automatic,sedan,8980
mercedes benz,2007,None,like new,None,None,gas,None,110000,None,clean,automatic,None,12500
toyota truck,1989,None,good,4 cylinders,rwd,gas,grey,131000,full-size,clean,manual,truck,2480
subaru forester,2000,None,good,None,4wd,gas,grey,None,None,clean,automatic,None,3000
Ford Bronco,1991,None,good,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,offroad,3500
ford bronco,1975,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
F 250,1995,1FTHX25F6SKB70684,good,8 cylinders,rwd,diesel,white,199375,full-size,clean,automatic,truck,10200
dodge caravan,1999,None,excellent,4 cylinders,None,gas,purple,209137,None,clean,automatic,None,600
Chevy Silverado,1991,None,good,8 cylinders,4wd,gas,custom,212088,full-size,clean,automatic,truck,1700
BMW X3 xDrive28i,2012,5UXWX5C50CL719003,like new,6 cylinders,4wd,gas,brown,87250,None,clean,automatic,SUV,17300
Dodge half ton,1952,None,None,None,None,gas,None,None,None,missing,manual,None,750
CHEV  S10 BLAZER,1998,None,excellent,6 cylinders,4wd,gas,None,221376,mid-size,clean,automatic,SUV,2500
Volkswagen Jetta,2001,None,None,None,None,gas,blue,None,compact,clean,manual,None,900
Chevy Malibu,2010,None,excellent,None,fwd,gas,None,89000,None,clean,automatic,sedan,7500
toyota prius,2012,None,excellent,None,None,hybrid,white,56000,mid-size,clean,automatic,hatchback,13500
ford fusion se,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Toyota Camry,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
tacoma,2002,None,good,6 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,1500
Mazda Protege,1994,None,good,4 cylinders,fwd,gas,red,144000,compact,clean,manual,sedan,1250
Subaru Forester S,2002,Car fax available,excellent,4 cylinders,4wd,gas,None,203754,None,clean,automatic,wagon,2980
Dodge Ram,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,1538
Jeep,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Volkswagen Cabrio,1998,None,fair,4 cylinders,fwd,gas,green,242000,compact,clean,manual,convertible,1200
ford f-150,2004,None,good,None,None,gas,red,None,None,clean,automatic,None,11000
Dodge Dakota,1999,None,good,8 cylinders,4wd,gas,None,170000,None,clean,automatic,None,4200
vw vanagon,1986,None,excellent,4 cylinders,rwd,gas,silver,None,full-size,clean,manual,None,10500
vw rabbit,1984,None,None,4 cylinders,fwd,gas,brown,166000,None,clean,manual,None,800
BMW 328i,2009,None,excellent,6 cylinders,rwd,gas,grey,95800,None,clean,automatic,None,12850
Ford ranger,1988,None,good,6 cylinders,4wd,gas,blue,79000,mid-size,missing,manual,pickup,3350
acura integra gs,1995,None,good,None,None,gas,white,None,mid-size,clean,manual,None,2700
mercedes-benz,1983,None,good,None,None,gas,silver,None,mid-size,clean,automatic,sedan,2800
Studebaker Champ,1964,None,None,None,None,gas,None,None,None,clean,manual,None,2345
Dodge Coronet wagon,1965,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
plymouth barracuda,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
chevy cavalier,2002,None,good,4 cylinders,fwd,gas,blue,167776,compact,clean,manual,coupe,2750
mazda protege,1998,None,fair,4 cylinders,fwd,gas,None,162000,None,clean,automatic,sedan,999
ford f-250,1995,None,like new,8 cylinders,4wd,gas,green,160000,full-size,clean,automatic,truck,8450
civic sedan honda,2014,None,excellent,4 cylinders,fwd,gas,black,None,None,clean,automatic,None,10995
Hyundai Santa Fe,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
ford mustang gt,2008,None,good,8 cylinders,rwd,gas,grey,125000,mid-size,clean,manual,coupe,8500
Nissan Altima3.5 Clean,2003,None,like new,6 cylinders,fwd,gas,black,None,None,clean,automatic,sedan,900
nissan altima,2003,None,good,4 cylinders,fwd,gas,white,None,None,clean,automatic,None,2300
Chevy,1978,None,None,8 cylinders,fwd,gas,brown,None,None,clean,automatic,truck,1000
MG Midget,1975,GAN6UF158440G,good,4 cylinders,rwd,gas,orange,131165,None,clean,manual,convertible,4000
Chevrolet Monte Carlo,1970,None,good,8 cylinders,rwd,gas,blue,138000,None,clean,automatic,None,22900
chrysler 200,2013,None,good,4 cylinders,fwd,gas,white,70000,mid-size,rebuilt,automatic,sedan,5800
ford f-150,2008,None,good,8 cylinders,4wd,gas,blue,171000,None,clean,automatic,None,9400
Ford Ranger,2001,None,good,4 cylinders,rwd,gas,green,113782,None,clean,manual,pickup,2800
Toyota Yaris,2014,None,good,4 cylinders,fwd,gas,silver,56000,compact,rebuilt,automatic,hatchback,8600
toyota camry le,1994,None,fair,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,550
E 350,1998,None,None,8 cylinders,rwd,gas,yellow,None,full-size,clean,automatic,pickup,4000
Kia optima,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1650
Honda odyssey lx,1995,None,fair,4 cylinders,fwd,gas,None,243000,None,clean,automatic,None,700
Plymouth sedan,1941,None,fair,None,rwd,gas,None,1111111,full-size,clean,other,sedan,1900
hyundai accent,2003,None,None,None,fwd,gas,silver,188000,None,clean,automatic,sedan,500
Pontiac Firebird,2002,2G2FS22K122139798,excellent,6 cylinders,rwd,gas,black,62757,None,clean,automatic,coupe,6500
Dodge Custom 100,1978,None,fair,None,None,gas,None,None,None,clean,manual,None,500
ford taurus,1998,None,good,6 cylinders,fwd,gas,green,131000,full-size,clean,automatic,sedan,1500
Chevrolet Cruze,2012,1G1PH5SC4C7197755,like new,4 cylinders,fwd,gas,red,81849,compact,clean,automatic,sedan,9000
Dodge D-150,1986,None,good,8 cylinders,rwd,gas,blue,None,full-size,clean,automatic,truck,2000
subaru forester,2003,None,None,None,None,gas,None,162000,None,clean,automatic,None,4500
chev 4x4,1979,None,good,8 cylinders,4wd,gas,None,130000,None,clean,automatic,None,2500
Jeep Wrangler,1997,None,good,6 cylinders,4wd,gas,green,76000,None,clean,manual,None,10500
ford f-250,1997,None,good,8 cylinders,4wd,diesel,black,177800,full-size,clean,automatic,truck,8000
Saab Viggen,2001,None,excellent,None,fwd,gas,black,126000,compact,clean,manual,convertible,8
toyota pickup 4x4,1994,None,excellent,4 cylinders,4wd,gas,green,None,mid-size,clean,manual,pickup,4000
Ford F-150 extended cab,2004,None,excellent,8 cylinders,4wd,gas,grey,125000,full-size,clean,automatic,pickup,11000
Nissan Skyline GTR,1990,None,None,None,None,gas,None,None,None,clean,manual,None,25000
chevrolet silverado,1976,None,None,None,None,gas,None,None,None,clean,other,None,500
Dodge Nitro,2007,None,None,None,None,gas,None,153000,None,clean,automatic,None,8000
Lexus ES 300,1998,None,fair,6 cylinders,fwd,gas,black,230635,None,clean,automatic,sedan,1300
GMC,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
gmc 1500 sierra,2003,None,good,6 cylinders,rwd,gas,grey,152000,full-size,clean,automatic,pickup,4000
nissan frontier,2004,None,excellent,6 cylinders,4wd,gas,red,107121,full-size,clean,automatic,pickup,7900
infiniti g35 coupe,2005,None,excellent,6 cylinders,rwd,gas,white,None,None,clean,manual,coupe,8500
toyota corolla,1999,None,fair,4 cylinders,fwd,gas,custom,368000,compact,clean,manual,sedan,1600
BMW 325i,2001,None,good,None,None,gas,None,190,None,clean,automatic,None,3500
Infiniti M45,2007,None,excellent,8 cylinders,rwd,gas,silver,85000,full-size,rebuilt,automatic,sedan,9500
GMC sanoma,1999,None,good,4 cylinders,rwd,gas,white,157926,compact,clean,manual,pickup,1500
volkswagen jetta,2000,None,good,6 cylinders,fwd,gas,red,203000,None,clean,manual,coupe,2500
mazda speed3,2008,None,good,None,None,gas,None,None,None,clean,manual,None,7000
mazda mazdaspeed 3,2008,None,None,None,None,gas,None,None,None,clean,manual,None,7000
kia optima sxl turbo,2014,None,like new,4 cylinders,fwd,gas,white,14500,None,clean,automatic,None,18500
Saturn,1999,None,None,None,None,gas,None,None,None,clean,manual,None,1600
Volvo,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
4runner,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Chevy tahoe,1996,None,good,8 cylinders,4wd,gas,white,202000,full-size,clean,automatic,SUV,5200
kia soul,2011,None,None,None,None,gas,None,130000,None,rebuilt,manual,None,3200
ford f-250,1995,None,like new,8 cylinders,4wd,gas,green,160000,full-size,clean,automatic,truck,8450
ford ranger,2000,None,good,6 cylinders,rwd,gas,red,154000,full-size,clean,manual,truck,3950
ford ranger,2000,None,good,6 cylinders,rwd,gas,red,154000,full-size,clean,manual,truck,3950
Truck box,1990,None,None,None,None,other,None,None,None,clean,other,None,70
ford fairlane 500,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
Ford f-100,1966,None,like new,8 cylinders,rwd,gas,custom,None,full-size,clean,manual,pickup,7500
International scout,1961,None,good,4 cylinders,None,gas,None,None,None,clean,manual,None,2500
dodge avenger,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Case backhoe,1969,None,fair,4 cylinders,rwd,diesel,yellow,None,full-size,clean,manual,other,1000
Dodge Ram 1500,2006,1D7HU18N46J153714,excellent,8 cylinders,4wd,gas,blue,191000,full-size,clean,automatic,truck,7000
GMC Envoy SLT,2004,None,excellent,6 cylinders,4wd,gas,None,116300,full-size,clean,automatic,SUV,6250
international,1952,None,None,None,None,gas,None,None,None,clean,manual,None,700
chev coupe,1949,None,None,None,None,gas,None,None,None,clean,manual,None,7500
K10 4x4 Chevy Silverado,1985,None,good,8 cylinders,4wd,gas,white,85000,full-size,clean,automatic,pickup,12000
Volkswagen Beetle,1999,None,None,None,None,gas,None,None,None,clean,manual,None,3295
Jeep Wrangler Sahara,2000,None,excellent,6 cylinders,4wd,gas,None,48000,None,clean,manual,None,15900
TOYOTA COROLLA VE,2000,1NXBR12E1YZ324376,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,800
