make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy Impala,2004,None,good,6 cylinders,fwd,gas,white,179000,mid-size,missing,automatic,sedan,1000
GMC Suburban,1994,None,good,8 cylinders,4wd,gas,blue,179225,full-size,clean,automatic,SUV,3300
chevrolet hhr,2006,None,excellent,4 cylinders,fwd,gas,None,194456,None,clean,automatic,None,2500
nissan murano,2013,None,excellent,6 cylinders,4wd,gas,grey,81565,mid-size,rebuilt,automatic,None,11100
Chevy Yukon,1995,None,good,8 cylinders,4wd,gas,white,None,None,clean,automatic,None,4500
Volkswagen Jetta,1998,None,None,None,None,gas,None,154000,None,rebuilt,manual,None,1250
ford crown victoria,2001,Xxxxx'xxx'x,excellent,8 cylinders,rwd,gas,None,123400,full-size,clean,automatic,sedan,2800
oldsmobile intrigue,1998,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,2500
chevy 2500,1998,None,good,8 cylinders,4wd,gas,brown,None,full-size,clean,automatic,pickup,7500
chevy silverado 1500,1995,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,pickup,3200
dodge ram 1500,2007,None,excellent,8 cylinders,4wd,gas,white,80000,full-size,clean,automatic,pickup,17000
Chevrolet Styline,1952,None,excellent,6 cylinders,rwd,gas,blue,None,full-size,clean,manual,coupe,15000
Ford F350,1994,None,None,8 cylinders,4wd,gas,red,134000,None,clean,manual,None,6700
Nissan Frontier,2000,None,good,6 cylinders,4wd,gas,brown,162,mid-size,clean,automatic,truck,5900
chevy colorado,2005,None,excellent,4 cylinders,rwd,gas,white,180000,None,clean,automatic,None,4300
Dodge Ram 1500,2013,None,excellent,8 cylinders,4wd,gas,silver,17000,full-size,clean,automatic,pickup,31000
ford f-250 super duty,2010,None,excellent,8 cylinders,4wd,diesel,None,68000,None,clean,automatic,None,26000
subaru forester,2008,JF1SG63668G718944,None,4 cylinders,4wd,gas,silver,91600,None,clean,manual,SUV,8000
subaru impreza wrx,2008,None,good,4 cylinders,4wd,gas,grey,110,None,clean,automatic,None,13000
subaru impreza wrx,2008,None,good,4 cylinders,4wd,gas,grey,6000,None,clean,automatic,None,13000
ford mustang,1968,None,None,None,None,gas,None,None,None,clean,manual,None,50000
Nissan Pathfinder,1990,None,None,None,None,gas,None,200000,None,clean,automatic,SUV,1500
Ford F-150,1992,None,good,8 cylinders,4wd,gas,silver,185000,full-size,clean,automatic,truck,3500
Vw,2001,None,good,4 cylinders,fwd,diesel,silver,258000,compact,clean,manual,sedan,2000
subaru gl,1987,None,fair,4 cylinders,4wd,gas,blue,295000,compact,clean,manual,sedan,900
GMC Sierra 1500 HD,2001,None,fair,8 cylinders,4wd,gas,None,170000,full-size,clean,automatic,pickup,6300
ford f-250,1994,None,good,8 cylinders,4wd,diesel,green,366000,full-size,clean,manual,pickup,7000
gmc sierra,1990,None,excellent,8 cylinders,4wd,gas,blue,144000,full-size,clean,automatic,pickup,6995
acura integra,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
kia optima,2005,None,good,4 cylinders,None,gas,custom,None,None,clean,automatic,None,1800
chevrolet astro,1994,None,fair,6 cylinders,4wd,gas,None,203000,None,clean,manual,None,1200
jeep cherokee,1999,None,None,None,None,gas,None,147,None,clean,automatic,None,2000
ford f250,1997,None,good,8 cylinders,rwd,gas,white,137000,full-size,clean,automatic,truck,5500
Ford F-250,1978,None,excellent,8 cylinders,rwd,gas,None,108710,full-size,clean,automatic,pickup,2500
subaru outback,2008,4S4BP61C887359031,None,4 cylinders,4wd,gas,blue,135700,None,clean,automatic,None,6300
chevrolet 1500 silverado,1996,None,None,8 cylinders,4wd,gas,white,192000,None,clean,automatic,None,2300
chevrolet k20,1984,None,None,None,None,gas,None,None,None,clean,manual,None,1
Toyota Camry,1998,None,fair,4 cylinders,fwd,gas,brown,156,compact,clean,automatic,sedan,1900
Subaru GL,1983,None,None,None,None,gas,None,154,None,clean,manual,None,700
gmc jimmy,1998,None,fair,None,4wd,gas,black,234000,full-size,clean,automatic,SUV,1850
toyota camry,1991,None,good,6 cylinders,fwd,gas,blue,244000,compact,clean,automatic,sedan,1200
mini cooper,2011,None,like new,4 cylinders,fwd,gas,red,None,compact,clean,automatic,None,3100
Volkswagen Fox wagon,1988,None,None,None,None,gas,None,None,None,clean,manual,hatchback,500
dodge ram 1500,2004,None,fair,6 cylinders,rwd,gas,white,180000,full-size,clean,manual,pickup,1
BMW 135i,2009,None,excellent,6 cylinders,rwd,gas,white,82000,None,rebuilt,manual,coupe,19900
Toyota Pickup,1991,None,good,None,4wd,gas,white,186964,None,clean,automatic,pickup,2500
dodge ram 2500,2008,None,excellent,8 cylinders,4wd,gas,black,127000,full-size,clean,automatic,truck,19000
Mazda MPV,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
chevrolet 1500 silverado,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
toyota camry SE,2005,None,excellent,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,3850
toyota sienna,2006,None,good,6 cylinders,fwd,gas,silver,198000,None,clean,automatic,van,5999
jeep wrangler 4x4 sport,2000,None,good,6 cylinders,4wd,gas,black,119000,None,clean,automatic,None,8000
Toyota camry,2008,None,good,4 cylinders,None,gas,brown,180000,compact,clean,automatic,None,5200
1996 acura integra,1996,None,None,None,None,gas,None,197000,None,clean,manual,None,3500
Chevrolet Silverado 3500,1998,None,excellent,8 cylinders,4wd,gas,None,253000,None,clean,automatic,None,4999
ford explorer,1995,None,good,6 cylinders,4wd,gas,blue,178500,full-size,clean,automatic,SUV,1950
subaru outback,2007,None,excellent,4 cylinders,4wd,gas,green,98500,mid-size,clean,manual,wagon,9850
Chevy Scottsdale,1986,None,good,8 cylinders,4wd,gas,white,84316,full-size,clean,manual,pickup,6000
ford f350,1995,None,None,None,None,diesel,None,153000,None,clean,automatic,None,4800
Ford F-250,1976,None,good,8 cylinders,rwd,gas,orange,None,full-size,clean,manual,truck,4000
Jeep Wrangler,1990,None,good,6 cylinders,4wd,gas,black,200000,None,clean,automatic,None,4200
buick,1997,None,good,6 cylinders,None,gas,None,110211,None,clean,automatic,None,1900
mitsubishi endeavor ls,2011,None,excellent,6 cylinders,4wd,gas,silver,129000,None,rebuilt,automatic,SUV,5900
Subaru outback,2000,None,excellent,4 cylinders,4wd,gas,None,145000,None,clean,manual,None,4500
Subaru Outback,1996,None,good,4 cylinders,4wd,gas,white,260000,full-size,missing,automatic,wagon,1350
bmw 5 series 528i,1998,None,good,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,1750
Toyota Supra,1987,None,None,6 cylinders,rwd,gas,red,None,None,clean,automatic,None,1200
Silverado,1985,None,fair,8 cylinders,4wd,gas,None,111000,None,clean,automatic,pickup,2000
Honda,1993,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,900
Ford f350,2008,None,excellent,None,None,diesel,None,104000,None,clean,automatic,None,26000
Ford Explorer,1994,None,good,6 cylinders,4wd,gas,green,121000,None,clean,automatic,None,1400
gmc sierra 2500 hd,2008,None,excellent,8 cylinders,fwd,diesel,white,71000,None,clean,automatic,None,36000
toyota celica,1987,None,good,None,None,gas,red,None,None,clean,manual,None,1300
International 1100,1967,None,None,8 cylinders,None,gas,None,None,None,clean,manual,None,4000
Ford F-350 XLT,1997,None,good,8 cylinders,4wd,diesel,green,None,full-size,clean,automatic,pickup,13500
toyota corolla,1999,None,good,4 cylinders,fwd,gas,grey,175,compact,clean,automatic,sedan,2500
Honda Accord,2008,None,good,4 cylinders,fwd,gas,black,110,compact,clean,automatic,sedan,8000
Cadillac deville,1998,None,salvage,8 cylinders,fwd,gas,white,292000,None,clean,automatic,None,500
cadillac brougham,1989,None,good,8 cylinders,None,gas,None,130,None,clean,automatic,None,1700
Chevy Camaro,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,14000
vw beetle bug,2004,3VWCD31C54M408702,like new,4 cylinders,fwd,gas,silver,44285,compact,clean,automatic,sedan,6000
ford bronco,1973,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
Subaru Impreza,1995,JFIGC2353SG510352,good,4 cylinders,None,gas,blue,None,None,clean,manual,sedan,2000
ford mercury sable,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,600
dodge ram 2500,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
subaru forester,2004,None,good,4 cylinders,4wd,gas,green,None,mid-size,clean,manual,wagon,4500
dodge ram 2500,1994,None,fair,6 cylinders,4wd,diesel,black,None,None,clean,manual,pickup,7000
mitsubishi 3000gt sl,1992,None,good,6 cylinders,fwd,gas,black,None,compact,clean,manual,coupe,2500
ford f-250,1972,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,manual,truck,950
subaru legacy wagon,1995,None,fair,4 cylinders,4wd,gas,white,205000,compact,clean,automatic,None,1595
ford windstar,2000,None,None,None,None,gas,blue,134750,None,clean,automatic,None,1700
Ford F250,1992,None,None,None,None,gas,None,158000,None,clean,manual,None,3000
Chevy Scottsdale,1982,None,good,8 cylinders,4wd,gas,brown,None,full-size,clean,automatic,pickup,3999
lincoln navigator,2003,None,excellent,8 cylinders,None,gas,black,150000,full-size,clean,automatic,SUV,4000
mercury sable ls,1996,None,good,6 cylinders,fwd,gas,silver,None,full-size,clean,automatic,sedan,1350
honda fit,2013,None,excellent,4 cylinders,fwd,gas,silver,185,compact,clean,automatic,wagon,6200
Mitsubishi Montero,1989,None,good,6 cylinders,4wd,gas,silver,None,None,clean,automatic,None,2000
bmw x3 3.0i,2005,None,excellent,6 cylinders,4wd,gas,black,116000,mid-size,clean,automatic,None,8000
cadillac seville SLS,1995,None,good,None,None,gas,None,89700,full-size,clean,automatic,sedan,1750
Ford taurus,2001,None,good,6 cylinders,fwd,gas,blue,100000,None,clean,automatic,wagon,2200
acura integra,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,850
Chevrolet Corvette,1981,None,None,None,None,gas,None,None,None,clean,automatic,None,30
bmw x3,2006,None,good,6 cylinders,4wd,gas,green,None,mid-size,clean,automatic,SUV,7450
jeep grand cherokee laredo,2005,None,good,6 cylinders,4wd,gas,blue,None,mid-size,clean,manual,SUV,7950
toyota pick up,1991,None,good,4 cylinders,rwd,gas,red,None,mid-size,clean,manual,pickup,3450
chevrolet trailblazer,2003,None,good,6 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,3500
