make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volvo s60,2005,None,good,5 cylinders,None,gas,None,153000,None,clean,automatic,None,2000
chevy silverado 2500,2003,None,good,8 cylinders,4wd,diesel,grey,193000,full-size,clean,automatic,None,13000
pontiac grand am,1999,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,1695
chevy uplander,2008,None,like new,6 cylinders,4wd,gas,blue,16000,sub-compact,clean,automatic,mini-van,3200
bmw 525i,2003,None,None,None,None,gas,None,170000,None,clean,automatic,None,3450
subaru forester,2006,None,excellent,4 cylinders,4wd,gas,silver,None,sub-compact,clean,automatic,hatchback,4500
Ford Taurus,1996,None,good,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,sedan,750
Dodge Caliber SXT,2007,None,good,None,None,gas,blue,76000,None,clean,automatic,None,3500
mistubishi galant,2001,None,good,4 cylinders,fwd,gas,silver,191000,mid-size,clean,automatic,sedan,1300
buick regal ls,1982,None,good,None,None,gas,black,None,None,clean,automatic,None,1500
Ford Fusion,2011,3FAHP0GA0BR239974,excellent,4 cylinders,fwd,gas,grey,94000,mid-size,clean,automatic,sedan,5800
mini cooper base 2dr hatchback,2006,None,excellent,4 cylinders,fwd,gas,white,None,None,clean,automatic,hatchback,4500
pontiac gran prix,1985,None,good,None,None,gas,custom,None,None,clean,automatic,None,2500
toyota yaris,2008,None,good,4 cylinders,fwd,gas,black,170000,compact,clean,manual,sedan,3200
isuzu npr,1997,None,good,4 cylinders,rwd,diesel,white,334000,full-size,clean,automatic,van,5800
chevy cheyenne,1974,None,None,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,None,5000
acura 3.5 rl,2000,None,excellent,6 cylinders,fwd,gas,silver,97352,None,clean,automatic,None,3000
chevrolet k2500,1982,None,None,None,None,gas,None,None,None,clean,manual,None,3000
Chevrolet El Camino,1968,None,None,6 cylinders,rwd,gas,yellow,None,None,clean,automatic,None,3500
Cahvy,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
nissa frontier,2000,None,good,6 cylinders,4wd,gas,brown,162,mid-size,clean,automatic,truck,5900
Toyota highlander le,2003,None,like new,None,4wd,gas,None,200000,None,clean,automatic,None,5250
Toyota Highlander LE,2003,None,like new,None,4wd,gas,None,200000,None,clean,automatic,None,5250
Chevrolet El Camino,1967,None,None,8 cylinders,rwd,gas,blue,None,None,clean,automatic,None,9000
GMC Acadia,2013,None,excellent,6 cylinders,fwd,gas,black,41000,None,salvage,automatic,SUV,19000
Jeep Wrangler TJ Sport,1998,None,good,4 cylinders,4wd,gas,None,132265,None,clean,manual,None,7200
International,1983,None,None,None,None,diesel,None,None,None,clean,automatic,None,19500
ford,1946,00000,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,sedan,3000
Ford ranger,1984,None,fair,4 cylinders,rwd,gas,white,None,None,clean,manual,None,300
chevy silverado 1500,1999,None,excellent,6 cylinders,rwd,gas,white,None,None,clean,automatic,pickup,4500
ford ranger xlt,2006,None,good,6 cylinders,4wd,gas,red,120585,mid-size,rebuilt,manual,pickup,6900
mazda millenia s,1999,None,good,None,fwd,gas,None,None,None,clean,automatic,None,1300
ford mustang,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,50000
toyota tacoma 4x4,1997,None,excellent,None,4wd,gas,None,112000,None,clean,automatic,None,8500
Hankook,2016,None,None,None,None,gas,None,None,None,clean,other,None,600
PACKARD,1952,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,None,1200
Chevrolet C20,1972,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
dodge ram cummins 3500 laramie,1995,None,None,None,None,diesel,None,None,None,clean,automatic,None,6800
toyota pick up,1989,None,None,None,None,gas,None,None,None,clean,manual,None,5
Lincoln TC Signature Series,2001,None,good,8 cylinders,rwd,gas,None,167000,None,clean,automatic,None,3550
