make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Dodge 2500 Quad cab,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
ford ranger,1996,None,good,6 cylinders,4wd,gas,black,185000,None,clean,manual,truck,2500
Kia Sorento LX,2006,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,SUV,5500
nissan pathfinder armada,2004,None,None,8 cylinders,None,gas,black,132000,None,clean,automatic,None,6950
Ranger,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1751
Nissan Altima,2012,None,excellent,4 cylinders,fwd,gas,white,104200,full-size,rebuilt,automatic,sedan,7500
ford f150,2010,1ftrf12218kb38432,excellent,6 cylinders,rwd,gas,white,1526982,full-size,clean,manual,truck,9500
oldsmobile cutlass cruiser wagon,1987,None,fair,6 cylinders,fwd,gas,yellow,161000,mid-size,clean,automatic,wagon,450
dodge ram 1500,1997,None,fair,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,pickup,1850
dodge avenger,2008,None,fair,4 cylinders,fwd,gas,silver,126459,mid-size,clean,automatic,sedan,4999
dodge dakota slt,2006,None,excellent,None,None,gas,None,63148,None,clean,automatic,pickup,8500
well maintained,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
honda civic ex,2002,None,None,None,None,gas,None,67000,None,clean,manual,None,2000
Dodge Magnum R/T,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2200
Dodge Stealth,1992,JB3XE74C5NY023247,good,6 cylinders,4wd,gas,white,120625,None,clean,manual,None,5900
honda accord ex,2003,None,good,6 cylinders,None,gas,grey,18900,mid-size,clean,automatic,sedan,4800
Ford Model A Tudor,1930,None,None,None,None,gas,None,None,None,clean,manual,None,6000
chevy avalanche,2002,None,excellent,8 cylinders,4wd,gas,red,None,None,clean,automatic,None,3000
Ford Focus,2003,None,excellent,4 cylinders,fwd,gas,grey,72000,compact,clean,automatic,sedan,4250
chevrolet aveo,2011,None,excellent,4 cylinders,fwd,gas,red,72000,compact,clean,automatic,sedan,5950
Ford Focus,2003,None,excellent,4 cylinders,fwd,gas,grey,72000,compact,clean,automatic,sedan,4250
Chevy Tahoe,1999,None,good,8 cylinders,4wd,gas,white,None,mid-size,clean,automatic,SUV,3000
Hyundai Tiburon GT,2003,KMHHN65F23U032560,good,6 cylinders,fwd,gas,silver,171300,compact,clean,manual,coupe,2499
chrysler 300c,2006,None,good,8 cylinders,rwd,gas,black,92245,full-size,clean,automatic,sedan,5900
lexus rx 330,2004,None,excellent,None,None,gas,custom,149000,full-size,clean,automatic,SUV,7000
chevrolet tahoe,2004,None,good,8 cylinders,4wd,gas,black,146616,full-size,clean,automatic,SUV,8500
Nissan Xterra,2001,None,fair,6 cylinders,4wd,gas,silver,160000,mid-size,clean,automatic,SUV,2000
cadillac deville,2003,None,fair,None,None,gas,None,125000,None,clean,automatic,None,1250
dodge 1500,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,500
chevy blazer,2001,None,None,6 cylinders,4wd,gas,None,189000,None,clean,automatic,SUV,1000
lexus RX330,2004,JTJHA31U140019887,good,6 cylinders,4wd,gas,grey,168069,None,clean,automatic,SUV,6299
honda civic lx,1997,None,excellent,4 cylinders,fwd,gas,blue,None,None,clean,manual,None,2250
