make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet,2000,None,excellent,8 cylinders,4wd,gas,black,None,None,clean,automatic,None,1500
Ford Focus SES ZX4,2005,None,good,4 cylinders,fwd,gas,blue,190000,mid-size,clean,automatic,sedan,1150
Dodoge durango,2000,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1500
Ford,1939,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Mazdaspeed 3,2007,JM1BK34L371738548,good,4 cylinders,fwd,gas,silver,129200,None,clean,manual,None,8500
cadillac cts,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
chevy impala,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
dodge durango,2000,None,good,8 cylinders,4wd,gas,green,76500,full-size,clean,automatic,SUV,3000
chevrolet 1500 silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,10500
gmc envoy l slt,2005,1GKET16M256172231,excellent,8 cylinders,4wd,gas,None,188000,None,clean,automatic,None,4500
chevy camaro,1981,None,fair,None,None,gas,None,None,None,clean,automatic,None,3500
jeep grand cherokee laredo,2005,None,good,None,4wd,gas,None,1595000,None,clean,automatic,None,5500
chevrolet malibu,2002,None,good,6 cylinders,fwd,gas,None,125000,None,clean,automatic,None,1200
chevy impala lt,2007,None,None,None,None,gas,None,112000,None,clean,automatic,None,5000
lincoln mkz,2012,ask,excellent,6 cylinders,4wd,gas,silver,233000,mid-size,clean,automatic,sedan,7000
pontiac g6,2005,None,good,6 cylinders,fwd,gas,black,142000,mid-size,clean,automatic,sedan,2500
BMW,2006,None,good,None,None,gas,black,97000,full-size,clean,automatic,sedan,8300
integra manual,1996,None,excellent,None,None,gas,None,None,None,clean,automatic,None,529
jeep grand cherokee laredo,2007,None,excellent,6 cylinders,4wd,gas,red,126388,full-size,clean,automatic,SUV,8900
chevrolet 1500 silverado,2015,3GCUKREC4FG262272,like new,8 cylinders,4wd,gas,blue,70000,None,lien,automatic,truck,26700
ford expedition,2001,None,fair,8 cylinders,4wd,gas,grey,148000,full-size,clean,automatic,None,1000
buick lacrosse cx,2005,None,excellent,6 cylinders,fwd,gas,blue,127025,full-size,clean,automatic,sedan,4900
ford edge,2008,None,like new,6 cylinders,fwd,gas,silver,53000,full-size,clean,automatic,None,15000
Honda crx,1990,None,None,None,None,gas,None,None,None,clean,manual,None,1200
Dodge Grand Caravan,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Oldsmobile Aurora,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
QX60,2014,None,like new,None,None,gas,None,None,None,clean,automatic,SUV,14538
chevrolet cobalt,2006,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,2200
chevy venture,2005,None,good,6 cylinders,fwd,gas,red,64362,mid-size,clean,automatic,van,3800
dodge ram 1500,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
chevrolet 1500 tahoe,1996,None,good,8 cylinders,4wd,gas,green,None,full-size,clean,automatic,SUV,1500
Ford Mustang GT Premium,2016,1FA6P8CFOG5202005,excellent,8 cylinders,rwd,gas,black,27376,None,clean,automatic,coupe,31750
Chevy cobalt lt,2009,None,good,4 cylinders,fwd,gas,black,96400,None,clean,automatic,None,5000
Mercury Mariner AWD,2006,None,excellent,4 cylinders,4wd,gas,None,78700,None,clean,automatic,None,6000
Olds toronado,1985,None,None,None,None,gas,None,86000,None,clean,automatic,None,3000
dodge grand caravan sxt,2008,None,good,6 cylinders,fwd,gas,None,147999,None,clean,automatic,None,5000
buick enclave,2010,None,like new,6 cylinders,fwd,gas,brown,94500,full-size,clean,automatic,SUV,9900
Toyota Camry SE,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
dodge journey,2010,None,excellent,4 cylinders,fwd,gas,white,93000,None,clean,automatic,None,6500
ford f-150,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Chevy,2005,None,None,None,None,gas,None,140,None,clean,automatic,None,1400
ford escape,2003,None,good,6 cylinders,4wd,gas,silver,159000,mid-size,clean,automatic,SUV,2400
forf f250,2003,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,truck,1500
Saturn Ion,2003,None,good,4 cylinders,fwd,gas,blue,308541,None,clean,automatic,None,1200
volkswagen jetta,2012,None,like new,5 cylinders,fwd,gas,grey,72114,mid-size,clean,automatic,sedan,10900
Suzuki Grand Vitara,2004,None,good,6 cylinders,4wd,gas,None,189000,None,clean,automatic,None,1000
Dodge,2000,None,None,None,None,other,None,None,None,clean,other,None,25
toyota sienna,2008,None,like new,6 cylinders,fwd,gas,silver,104948,full-size,clean,automatic,van,12900
saturn vue,2007,None,excellent,6 cylinders,fwd,gas,black,141258,full-size,clean,automatic,SUV,4900
Buick Rainer,2005,None,None,None,None,gas,None,160,None,clean,automatic,SUV,2000
chevrolet impala,2005,None,good,6 cylinders,fwd,gas,black,None,None,clean,automatic,sedan,1895
nissan maxima 3.5 s,2009,None,excellent,6 cylinders,fwd,gas,silver,230773,full-size,clean,automatic,sedan,6900
lincoln towncar signature series,2002,None,excellent,8 cylinders,None,gas,None,120000,None,clean,automatic,None,1850
jeep wrangler sport,2012,1c4ajwag1cl182052,like new,6 cylinders,4wd,gas,black,87397,compact,clean,manual,SUV,18500
lexus es 350,2008,None,excellent,6 cylinders,fwd,gas,black,163441,full-size,clean,automatic,sedan,6700
honda cr-v,2002,None,good,None,4wd,gas,blue,None,mid-size,clean,automatic,SUV,1500
jeep liberty,2005,None,excellent,6 cylinders,4wd,gas,blue,138509,full-size,clean,automatic,SUV,5410
nissan altima hybrid,2009,None,good,4 cylinders,fwd,hybrid,grey,50341,mid-size,clean,automatic,sedan,6500
Chevrolet,1997,None,good,8 cylinders,rwd,gas,None,214000,None,clean,automatic,None,1300
chevrolet silverado,2002,None,good,8 cylinders,4wd,gas,white,250000,full-size,clean,automatic,truck,2800
Grand prix,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3499
Chevy Blazer 4x4 4dr,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Ford,2001,None,fair,8 cylinders,fwd,gas,red,280000,full-size,clean,automatic,offroad,1250
pontiac vibe,2003,None,good,4 cylinders,fwd,gas,red,113000,mid-size,clean,manual,sedan,1700
Chevy colorado crew cab,2012,None,like new,5 cylinders,4wd,gas,black,25000,mid-size,clean,automatic,pickup,23500
chevrolet impala,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
mazda trfibute,2003,None,None,None,None,gas,None,150,None,clean,automatic,None,2950
ford focus ses,2007,None,good,4 cylinders,fwd,gas,grey,62500,compact,clean,automatic,hatchback,3500
gmc 1500 sierra,2004,None,good,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,4500
ford f150,1998,None,good,8 cylinders,rwd,gas,green,130000,full-size,clean,automatic,pickup,1900
ford explorer sport,2001,None,good,6 cylinders,4wd,gas,red,180000,mid-size,clean,automatic,SUV,1200
fordf150,1997,None,fair,None,None,gas,None,None,None,clean,automatic,None,1700
ford transit connect van,2012,None,excellent,4 cylinders,fwd,gas,white,129967,full-size,clean,automatic,van,7900
ford f-150,2012,None,excellent,8 cylinders,4wd,gas,white,162300,full-size,clean,automatic,truck,13900
GMC Sierra Z71,1997,None,good,6 cylinders,4wd,gas,green,185000,None,clean,automatic,truck,4500
Dodge nitro slt,2007,None,like new,6 cylinders,4wd,gas,black,118000,full-size,clean,automatic,SUV,7200
chevy equinox,2015,None,like new,4 cylinders,fwd,gas,white,91379,full-size,clean,automatic,SUV,12900
chevy impala,2009,None,excellent,6 cylinders,fwd,gas,white,136841,full-size,clean,automatic,sedan,3900
jeep wrangler jk,2010,1J4AA2D16 AL19578,excellent,6 cylinders,4wd,gas,black,78000,None,clean,automatic,None,17500
Ford Focus s,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
chrysler town &amp;country,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
chrysler town & country,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
g6 pontiac,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
ford transit connect van,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6995
pontiac g5,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
pontiac g6,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chrysler 300,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chrysler pacifica,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
Cadillac Deville,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1150
chevrolet cobalt,2007,1G1AL55FX77240673,good,4 cylinders,fwd,gas,grey,165900,compact,clean,automatic,sedan,2900
Chevy,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
alero oldsmobile,2001,None,None,6 cylinders,None,gas,white,204000,None,clean,automatic,None,800
saturn l200,2002,None,good,4 cylinders,fwd,gas,white,174000,full-size,clean,automatic,sedan,1350
maxima,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1041
chevy impala ltz,2011,None,like new,6 cylinders,fwd,gas,white,113247,full-size,clean,automatic,sedan,7950
DODGE CARAVAN,2001,None,None,None,None,gas,blue,None,None,clean,automatic,None,900
PONTIAC G6,2007,None,None,None,None,gas,black,None,None,clean,automatic,None,2500
GMC jimmy,1999,None,good,6 cylinders,4wd,gas,None,194000,mid-size,clean,manual,SUV,17
F-250 73 L quad cab,2002,None,good,8 cylinders,4wd,diesel,red,253000,full-size,clean,automatic,pickup,5900
