make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
avalon,2006,None,None,None,None,gas,None,None,None,clean,automatic,sedan,1544
Ford,1966,None,None,None,None,gas,None,None,None,clean,manual,None,1900
ford explorer,1994,None,good,6 cylinders,4wd,gas,None,155000,mid-size,clean,automatic,None,2000
ACURA MDX,2006,2HNYD18786H510433,excellent,6 cylinders,4wd,gas,white,None,None,clean,automatic,None,950
Ford f 350,2006,None,good,10 cylinders,4wd,diesel,silver,135000,full-size,lien,automatic,truck,15000
Pontiac grand prix gxp,2008,2G2WC55C881111482,good,8 cylinders,fwd,gas,red,147699,full-size,clean,automatic,sedan,3000
ford f-150,2009,None,good,8 cylinders,rwd,gas,white,186000,full-size,clean,automatic,pickup,4200
pontiac sunfire,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1850
Chevy Fleetline,1951,None,good,8 cylinders,rwd,gas,purple,None,full-size,clean,automatic,coupe,13500
chevrolet corvette,2003,None,excellent,8 cylinders,rwd,gas,red,81166,mid-size,clean,manual,convertible,14900
ford mustang gt,2009,None,like new,8 cylinders,rwd,gas,black,23000,full-size,clean,automatic,coupe,18500
Internation 410,1952,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,truck,19000
scion,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevy s10 pickup,2003,None,excellent,6 cylinders,rwd,gas,yellow,145000,mid-size,clean,automatic,truck,6500
chevy express,2012,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,5200
chevrolet 1500 silverado,2004,None,None,8 cylinders,None,gas,None,95000,None,clean,automatic,None,5400
toyota corolla le,2000,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,sedan,1250
vw jetta TDI,2006,None,excellent,4 cylinders,fwd,diesel,silver,120000,compact,clean,automatic,sedan,4500
Chevrolet Equinox LT,2005,None,like new,6 cylinders,None,gas,None,142000,None,clean,automatic,None,3950
Nissan Altima 2.5S,2007,None,like new,4 cylinders,None,gas,None,99000,None,clean,automatic,None,5900
Mazda Mazda 6,2007,None,like new,6 cylinders,None,gas,None,129000,None,clean,automatic,None,3900
ford excursion,2000,None,good,10 cylinders,4wd,gas,None,133000,full-size,clean,automatic,None,6800
Chevrolet Avalanche,2007,None,None,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,8500
chevrolet traverse,2016,None,None,None,None,gas,None,None,None,lien,automatic,None,26000
gmc 1500 sierra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
Camaro,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford f-150,1978,None,good,8 cylinders,rwd,gas,blue,144000,full-size,clean,automatic,pickup,3550
toyota celica gts,2002,None,None,4 cylinders,fwd,gas,silver,179000,compact,clean,automatic,None,2500
nissan xterra,2000,None,None,6 cylinders,4wd,gas,red,None,None,clean,automatic,None,2500
Excellent condition,2003,None,None,None,None,gas,None,None,None,clean,automatic,sedan,1000
ford f-250,2005,None,good,10 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,8500
altima,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,15
ford f-150,2002,None,good,8 cylinders,4wd,gas,white,260000,full-size,clean,automatic,pickup,1500
chevy equinox,2006,None,good,6 cylinders,fwd,gas,red,None,None,clean,automatic,None,4500
mercury montego,2005,None,good,None,None,gas,None,176000,None,clean,automatic,None,3100
dodge ram 1500,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
440 rambler,1965,None,good,6 cylinders,rwd,gas,green,None,mid-size,clean,automatic,None,7500
ford ranger,2006,None,excellent,6 cylinders,None,gas,silver,None,mid-size,clean,manual,truck,4200
C1500,1996,None,excellent,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,pickup,3750
regular maintenance,2012,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,3054
CHEVROLET TAHOE,2007,None,None,None,None,gas,None,178351,None,clean,automatic,None,10200
oldsmobile alero gl,2003,None,good,6 cylinders,fwd,gas,silver,187000,compact,clean,automatic,sedan,1500
CHEVROLET EXPRESS G1500,2008,None,None,None,None,gas,None,121849,None,clean,automatic,None,9400
Nissan Pathfinder,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2098
cadillac escalade,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,22900
BMW 525,2006,None,None,None,None,gas,None,143243,None,clean,automatic,None,6300
CHEVROLET CRUZE,2012,None,None,None,None,gas,None,177515,None,clean,automatic,None,4950
CADILLAC CTS,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,8800
subaru tribeca,2008,None,good,None,None,gas,None,128000,None,clean,automatic,None,8000
chevy malibu ls,2003,None,good,6 cylinders,fwd,gas,None,215000,None,clean,automatic,sedan,1200
bmw 3 series 328i xdrive,2009,None,None,None,None,gas,None,156046,None,clean,automatic,None,8950
nissan 350z,2003,None,None,None,None,gas,None,None,None,clean,manual,None,95000
Subaru Forester,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,22000
