make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
pontiac grand prix,2004,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,1000
kia spectra 5,2008,None,None,4 cylinders,fwd,gas,black,132000,None,clean,manual,hatchback,800
chevrolet monte carlo ss,2002,None,good,6 cylinders,fwd,gas,red,None,None,clean,automatic,None,2000
chevy monte carlo SS,2005,None,fair,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,2000
FORD EXPLORER,2007,1FMEU64E57UA69705,excellent,6 cylinders,rwd,gas,purple,None,None,clean,automatic,None,950
pontiac sunfire,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1850
nissan rogue,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,15500
ford f-150,2009,None,good,8 cylinders,rwd,gas,white,186000,full-size,clean,automatic,truck,4200
Chevy Impala,2014,None,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,sedan,3300
hyundai sonata,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
Ford Ranger,1997,None,excellent,6 cylinders,None,gas,None,50000,None,clean,automatic,None,5500
buick park avenue,1994,None,good,6 cylinders,fwd,gas,white,184000,mid-size,clean,automatic,other,850
chevrolet silverado 2500hd,2003,None,good,8 cylinders,4wd,gas,None,159000,None,clean,automatic,None,9500
gmc 1500 sierra,2006,None,good,None,None,gas,white,213118,full-size,clean,automatic,pickup,6000
hyundai santa fe,2004,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,999
Nissan,2004,None,None,None,None,gas,None,None,None,clean,manual,None,7000
97 Isuzu rodeo,1997,None,good,6 cylinders,None,gas,blue,160000,mid-size,clean,automatic,SUV,1800
chrysler pt cruiser,2003,None,excellent,None,None,gas,None,91000,None,clean,automatic,None,2900
ford f350,2007,None,good,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,None,20000
Ford F150,2007,1FTRF12247KD33813,good,6 cylinders,rwd,gas,grey,67200,full-size,clean,manual,truck,8500
Toyota Avalon,2001,4T1BF28B61U148815,good,6 cylinders,fwd,gas,custom,198000,full-size,clean,automatic,sedan,3500
ford excursion,2000,None,good,10 cylinders,4wd,gas,None,133000,full-size,clean,automatic,None,6800
Chevrolet Avalanche,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Chevy caviler,1997,None,good,4 cylinders,fwd,gas,blue,130000,compact,clean,automatic,coupe,1250
gmc 1500 sierra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
BMW 325i,1990,None,None,None,None,gas,None,81000,None,clean,automatic,None,1300
camaro,1982,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chrysler pt cruiser convertible,2005,None,None,4 cylinders,fwd,gas,white,138,None,clean,manual,convertible,2800
Jeep Cherokee Laredo 4x4,2000,None,None,6 cylinders,4wd,gas,blue,157917,None,clean,automatic,None,2000
mercury montego,2005,None,None,None,None,gas,None,176000,None,clean,automatic,None,3100
ford f-150,2002,None,good,None,None,gas,None,None,None,clean,automatic,None,1500
toyota camry,1999,None,fair,None,fwd,gas,None,133000,None,clean,automatic,None,1900
ford f-150,2002,None,good,8 cylinders,4wd,gas,white,None,compact,clean,automatic,None,1500
Ford Ranger,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Nissan Altima,2003,None,excellent,6 cylinders,fwd,gas,red,153300,compact,clean,automatic,sedan,2650
mercury mariner,2009,None,None,4 cylinders,4wd,gas,None,None,None,clean,automatic,None,4900
E-350 EXTENDED VAN,2000,None,excellent,8 cylinders,rwd,gas,red,88029,full-size,clean,automatic,van,7999
Hyundai Sonata GLS,2011,5NPEB4AC1BH011451,None,4 cylinders,fwd,gas,red,150712,compact,clean,automatic,sedan,6250
chevrolet 1500 avalanche,2008,3gnfk12338g252793,excellent,8 cylinders,4wd,gas,blue,103000,None,lien,automatic,None,16500
bmw m3 convertible,2004,None,good,6 cylinders,None,gas,silver,110250,mid-size,clean,other,convertible,8500
ford escort,1998,None,fair,None,None,gas,blue,97940,None,clean,automatic,None,800
ford escort,1998,None,fair,None,None,gas,blue,97940,None,clean,automatic,None,800
ford f250,1987,None,good,None,4wd,gas,red,None,full-size,clean,automatic,pickup,750
chevy cavalier,2003,None,good,4 cylinders,rwd,gas,white,50000,compact,clean,automatic,coupe,1399
chevy cavalier,2003,None,good,4 cylinders,rwd,gas,white,50000,compact,clean,automatic,coupe,1399
chevy cavalier,2003,None,good,4 cylinders,rwd,gas,white,50000,compact,clean,automatic,coupe,1399
saturn relay,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
nissan titan sv 4x4,2014,None,None,None,None,gas,None,None,None,lien,automatic,None,22000
hyundai sonata limited 4dr sedan,2012,None,excellent,4 cylinders,None,gas,grey,None,mid-size,clean,automatic,coupe,8500
VARIOUS,2002,None,good,None,None,other,None,None,None,clean,automatic,None,3000
VARIOUS,2002,None,good,None,None,other,None,None,None,clean,automatic,None,3000
chevy aveo,2004,None,None,None,None,gas,None,176123,None,clean,automatic,None,2500
ford mustang gt,1997,None,None,None,None,gas,None,131344,None,clean,manual,None,4000
Saturn SL,1999,None,excellent,4 cylinders,fwd,gas,None,162777,compact,clean,automatic,sedan,1095
AUDI A4 QUATTRO,2007,None,None,None,4wd,gas,None,88750,None,clean,automatic,sedan,6900
BMW X3,2004,None,None,None,4wd,gas,None,124000,None,clean,automatic,SUV,6995
MAZDA MAZDA6,2015,None,like new,4 cylinders,fwd,gas,None,17000,None,clean,automatic,sedan,14500
FORD 15-PASSENGER VAN,2000,None,excellent,8 cylinders,rwd,gas,red,88029,full-size,clean,automatic,van,6999
F-35O DIESEL DUALLY,1999,None,excellent,8 cylinders,4wd,diesel,white,152079,full-size,clean,manual,truck,11995
infiniti qx56,2010,None,excellent,None,None,gas,white,None,None,clean,automatic,None,15000
honda odessy,2001,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,900
honda accord ex,2004,None,good,4 cylinders,fwd,gas,grey,182000,None,clean,automatic,coupe,2500
ford e150 econoline,1989,None,excellent,8 cylinders,rwd,gas,blue,81000,full-size,clean,automatic,van,4500
Nissan altima,2004,None,good,4 cylinders,fwd,gas,brown,230000,compact,clean,automatic,None,650
chevrolet impala,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
honda pilot,2003,None,fair,None,4wd,gas,None,219000,None,clean,automatic,None,2250
honda pilot,2003,None,fair,None,4wd,gas,None,219000,None,clean,automatic,None,2250
