make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chrysler 300,2005,None,good,6 cylinders,rwd,gas,black,170000,full-size,clean,automatic,sedan,7000
chevy 1500,1995,None,fair,8 cylinders,rwd,gas,green,199500,full-size,clean,automatic,pickup,1000
ford f350,2006,None,good,10 cylinders,4wd,diesel,silver,135000,full-size,lien,automatic,truck,15000
nissan rogue,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,15500
ford f-150,2009,None,good,8 cylinders,rwd,gas,white,186000,full-size,clean,automatic,truck,4200
hyundai sonata,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
Buick Century Limited,1997,None,fair,None,fwd,gas,None,None,None,clean,automatic,sedan,600
Chevy Cobalt,2005,None,good,4 cylinders,fwd,gas,red,102000,mid-size,clean,automatic,coupe,2400
Chevrolet Avalanche,2007,None,None,None,4wd,gas,None,None,None,clean,automatic,truck,8500
chevrolet traverse,2016,None,None,None,None,gas,None,30000,None,lien,automatic,None,26000
gmc 1500 sierra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
toyota tacoma 4x4,2008,None,like new,6 cylinders,4wd,gas,black,None,None,clean,automatic,truck,3100
bmw x5 3.0i awd,2006,None,None,None,None,gas,None,125000,None,clean,automatic,None,4900
nissan sentra,2014,3N1AB7AP0EY203053,like new,None,fwd,gas,black,47749,full-size,clean,automatic,other,12000
pontiac bonneville,2002,None,None,None,None,gas,None,None,None,clean,manual,None,1500
JEEP GRAND CHEROKEE LAREDO 4X4,2004,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,3975
F-350 DUALLY,1999,None,good,8 cylinders,4wd,diesel,white,152079,full-size,clean,manual,truck,11950
Aerostar Wheelchair Van,1998,None,good,6 cylinders,None,gas,red,48803,mid-size,clean,automatic,mini-van,3999
chevrolet 1500 avalanche,2008,3gnfk12338g252793,excellent,8 cylinders,4wd,gas,None,103000,None,lien,automatic,None,16500
Chevy Tahoe LT,2006,None,excellent,8 cylinders,4wd,gas,None,113000,None,clean,automatic,None,7000
MG Midget,1979,None,None,None,None,gas,None,None,None,clean,manual,None,3000
Chevy k10,1981,None,excellent,other,4wd,gas,red,None,None,clean,automatic,None,5
Chevy k10,1981,None,excellent,other,4wd,gas,red,None,None,clean,automatic,None,5
Volvo S80 T6 AWD,2009,None,excellent,6 cylinders,4wd,gas,grey,138000,full-size,clean,automatic,sedan,8750
volvo s40 2.4i,2006,None,excellent,5 cylinders,fwd,gas,grey,160000,compact,clean,automatic,sedan,3950
