make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Suzuki SX4,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Ford Fusion,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4100
buick rendezvous,2004,None,good,None,None,gas,white,194559,None,clean,manual,SUV,2400
Ford Fusion,2014,None,excellent,4 cylinders,fwd,gas,silver,48000,mid-size,clean,automatic,sedan,13000
Buick LaSabre Ltd.,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
SUBARU IMPREZA 2.0i PREMIUM AWD,2012,None,excellent,4 cylinders,fwd,gas,silver,71100,mid-size,clean,automatic,sedan,11000
Kia Optima,2008,None,None,None,None,gas,None,None,None,salvage,automatic,None,3400
chevrolet trailblazer,2007,1GNDT13SX72210204,excellent,None,None,gas,grey,180564,full-size,clean,automatic,SUV,4000
pontiac grand prix,2007,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,sedan,2700
subaru legacy,2004,None,excellent,4 cylinders,4wd,gas,blue,189,sub-compact,clean,automatic,SUV,3150
Chevy Cobalt,2009,None,fair,4 cylinders,None,gas,blue,154000,None,clean,automatic,sedan,1500
Mercury Sable,2002,None,good,6 cylinders,fwd,gas,blue,190277,mid-size,clean,automatic,None,1100
chevrolet cobalt,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1
lexus is 300,2017,None,None,None,None,gas,None,1500,None,lien,automatic,None,463
ram 2500,2014,None,excellent,6 cylinders,4wd,diesel,grey,59000,full-size,rebuilt,manual,truck,37000
toyota sienna le,2005,None,fair,6 cylinders,None,gas,None,160100,None,clean,automatic,None,3700
Convertible,1968,None,None,None,None,gas,None,None,None,missing,automatic,None,900
Ford f250 super duty,1999,None,None,None,None,gas,None,164500,None,clean,automatic,None,4900
Austin-Healey,1962,None,None,None,None,gas,None,None,None,clean,manual,None,27000
chevy silverado 1500,2007,Ask me,like new,8 cylinders,4wd,gas,red,174000,full-size,clean,automatic,pickup,9995
GMC,2004,None,excellent,6 cylinders,4wd,gas,brown,None,mid-size,clean,automatic,SUV,3495
infiniti g35 coupe,2003,None,like new,6 cylinders,rwd,gas,blue,97,sub-compact,clean,manual,coupe,7995
HONDA,2007,None,good,4 cylinders,fwd,gas,None,139,None,clean,automatic,SUV,2000
Dodge 2500 diesel,2003,None,good,6 cylinders,4wd,diesel,blue,180000,full-size,clean,automatic,pickup,14000
Chevy,1998,None,good,None,rwd,gas,green,None,mid-size,clean,automatic,pickup,1000
chevy s-10 blazer,1998,None,good,6 cylinders,4wd,gas,blue,151000,compact,clean,automatic,None,1470
Pontiact Vibe,2005,None,good,4 cylinders,fwd,gas,red,81220,compact,clean,automatic,None,3000
dodge ram 3500,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,9500
chevrolet 1500 silverado,1997,None,None,None,None,gas,None,None,None,clean,manual,None,675
ford f-150,1999,None,fair,None,None,gas,None,None,None,clean,automatic,None,2500
Oldsmobile Alero,2003,None,fair,4 cylinders,fwd,gas,custom,180000,mid-size,clean,automatic,sedan,1
gmc sonoma,2001,None,fair,6 cylinders,4wd,gas,black,None,None,clean,automatic,None,2000
nissan pathfinder se,1997,None,good,6 cylinders,4wd,gas,brown,156000,mid-size,clean,automatic,SUV,1200
dodge durango,1999,None,fair,8 cylinders,4wd,gas,black,220000,full-size,clean,automatic,SUV,750
chevy silverado 2500hd,2007,None,None,None,None,diesel,None,None,None,clean,automatic,None,12500
Chevy Heavy Duty 3/4,1981,None,None,None,None,gas,brown,82748,None,clean,automatic,None,8500
Chrysler Town &Country LX,2005,None,good,None,None,gas,None,153000,compact,clean,automatic,mini-van,2500
Acura TL,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1000
lexus is 250,2007,None,good,6 cylinders,None,gas,None,175000,None,clean,automatic,None,7200
chevy,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,300
