make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
hyundai elantra,2011,None,good,4 cylinders,fwd,gas,brown,105000,compact,clean,automatic,sedan,6700
Willys Jeep,1948,None,None,None,None,gas,None,None,None,clean,manual,None,500
Chevy lbz duramax,2006,None,excellent,None,4wd,diesel,None,None,None,clean,automatic,None,20000
honda civic,1992,2hgeh2346nh522337,good,4 cylinders,fwd,gas,grey,235000,compact,clean,manual,hatchback,1400
Dodge Ram,2005,None,excellent,8 cylinders,rwd,gas,blue,201000,full-size,clean,automatic,truck,6000
Toyota Sienna,2012,None,excellent,6 cylinders,fwd,gas,silver,105000,full-size,clean,automatic,mini-van,11750
honda odyssey,2002,None,good,None,fwd,gas,silver,201605,None,clean,automatic,mini-van,2500
Chevy suburban,2005,None,good,8 cylinders,4wd,gas,black,122000,full-size,clean,automatic,SUV,8700
chevy traverse,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,11488
ford edge,2011,None,None,None,fwd,gas,None,None,None,clean,automatic,None,11995
ford fusion sel,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6795
buick terraza,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4249
chevy express van,1999,None,None,None,rwd,gas,None,None,None,clean,automatic,None,3750
Nissan,1991,None,excellent,None,None,gas,None,None,None,parts only,manual,None,1
SR5,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
dodge,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
Land Rover Range Rover Evoque,2012,None,excellent,None,None,gas,None,60500,None,clean,automatic,None,27000
chevrolet tahoe,2009,None,None,None,4wd,gas,None,136000,None,lien,automatic,None,15500
Chevy Cobalt,2009,None,fair,4 cylinders,None,gas,blue,154000,None,clean,automatic,sedan,1500
ford expedition,2011,None,None,8 cylinders,4wd,gas,None,59000,None,clean,automatic,SUV,17000
honda civic lx,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
MERCEDES-BENZ  C300,2009,None,like new,6 cylinders,4wd,gas,None,114000,None,clean,automatic,None,10600
jetta,2008,None,None,None,None,gas,None,None,None,clean,manual,None,4700
