make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda civic,2001,None,excellent,4 cylinders,fwd,gas,silver,35000,None,clean,automatic,coupe,4000
GMC Sierra,2010,None,good,8 cylinders,4wd,gas,black,130000,None,lien,automatic,truck,18000
Dodge B2B Pickup,1951,None,None,None,None,gas,None,None,None,clean,manual,None,1500
oldsmobile cutlass supreme,1994,None,excellent,6 cylinders,fwd,gas,red,72220,mid-size,clean,automatic,convertible,3790
chevy express,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
04 freestar,2004,None,fair,6 cylinders,fwd,gas,grey,None,compact,clean,automatic,mini-van,1000
ford freestar,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
chevrolet impala,2008,None,good,6 cylinders,fwd,gas,white,199900,full-size,clean,automatic,sedan,2300
Keep Cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
ford mustang,1973,None,None,None,None,gas,None,None,None,clean,automatic,None,12
dodge ram 1500,2013,None,excellent,8 cylinders,rwd,gas,blue,87100,full-size,clean,automatic,pickup,17250
dodge dakota slt,2005,1D7HW42N855226337,good,8 cylinders,4wd,gas,black,173000,mid-size,clean,automatic,pickup,4500
GMC Safari SLE Van,2000,None,fair,8 cylinders,rwd,gas,blue,196540,full-size,clean,automatic,van,2000
Ford F-250 super duty,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
Mazda Protege,2003,None,None,4 cylinders,fwd,gas,None,88000,compact,clean,manual,None,1600
Chev,2010,2G1WA5EK5A1113651,good,6 cylinders,fwd,gas,silver,174000,mid-size,clean,automatic,sedan,3995
jeep wrangler 4x4 sport,2010,None,good,6 cylinders,4wd,gas,green,68000,None,rebuilt,manual,SUV,13000
chevrolet impala,2005,None,None,None,None,gas,white,160000,None,clean,automatic,None,500
Ford Excursion,2001,None,excellent,10 cylinders,None,gas,None,None,None,clean,automatic,None,2000
TOYOTA RAV 4 LE,2016,None,good,None,None,gas,None,20200,None,lien,automatic,None,19900
FORD ESCAPE TITANIUM,2014,None,good,4 cylinders,fwd,gas,silver,87000,None,salvage,automatic,SUV,10900
ford f-150,2003,None,None,None,None,gas,None,130000,None,clean,automatic,None,7500
jeep grand cherokee laredo,2012,None,new,None,None,gas,None,None,None,clean,automatic,None,9000
chevy trailblazer,2005,None,good,6 cylinders,4wd,gas,blue,139000,full-size,lien,automatic,SUV,5500
Honda Accord,2007,1HGCM56367A186407,excellent,4 cylinders,fwd,gas,silver,114900,compact,clean,automatic,None,5300
Toyota Sienna,2007,None,good,6 cylinders,fwd,gas,green,231317,full-size,clean,automatic,mini-van,6000
Cadillac SRX,2006,1GYEE637060133024,good,6 cylinders,4wd,gas,purple,167500,full-size,clean,automatic,SUV,3500
saturn,2008,5GXEV23738J132346,good,6 cylinders,4wd,gas,white,160000,full-size,clean,automatic,SUV,6500
kia sportage,2006,None,excellent,4 cylinders,fwd,gas,grey,84000,None,rebuilt,automatic,None,4500
nissan sentra ser,2004,None,None,4 cylinders,fwd,gas,red,124000,None,clean,automatic,sedan,3500
buick century custom 4dr sedan,2004,None,None,6 cylinders,fwd,gas,silver,121000,mid-size,clean,automatic,sedan,3500
Iowa City,2007,None,excellent,8 cylinders,4wd,gas,white,160550,full-size,clean,automatic,SUV,30
Chrysler pt cruiser,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,300
CHEVY  C20,1964,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,manual,pickup,4200
CHEVY  C20,1964,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,manual,pickup,4200
murcury sable,2000,None,good,6 cylinders,fwd,gas,None,152000,full-size,clean,automatic,sedan,1800
audi a6 2.0t premium plus,2013,None,good,4 cylinders,4wd,gas,silver,58000,None,salvage,automatic,None,15900
Dodge Ram 3500,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1750
lincoln town car,1999,None,excellent,8 cylinders,rwd,gas,blue,165000,full-size,clean,automatic,sedan,2500
ford e350 van,2002,None,good,8 cylinders,rwd,gas,white,153000,None,clean,automatic,van,4000
Any,2015,None,None,None,None,gas,None,None,None,clean,manual,None,3
Ford Torino,1971,None,good,8 cylinders,rwd,gas,blue,6000,None,clean,automatic,coupe,15000
lincoln town car signature,1996,None,good,8 cylinders,rwd,gas,white,188000,full-size,clean,automatic,sedan,1300
mercury milan,2008,None,good,6 cylinders,fwd,gas,black,154000,mid-size,clean,automatic,sedan,2900
chevy silverado,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,900
honda civic si,2012,None,excellent,6 cylinders,fwd,gas,black,95000,None,clean,manual,coupe,9000
honda civic,2006,None,good,4 cylinders,fwd,gas,silver,78000,full-size,salvage,automatic,sedan,4900
kia sedona,2005,None,good,4 cylinders,fwd,gas,green,157000,full-size,salvage,automatic,mini-van,1500
toyota corolla,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,11000
chevrolet impala lt,2011,2G1WG5EK3B1154473,good,6 cylinders,fwd,gas,silver,76200,full-size,clean,automatic,None,5700
mitsubishi eclipse,2005,None,good,4 cylinders,fwd,gas,silver,166000,compact,clean,automatic,coupe,1500
Chrysler Town and country,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
dodge dakota slt,2003,None,fair,6 cylinders,4wd,gas,red,220000,mid-size,clean,automatic,None,1000
ford focus se 4dr sedan,2012,None,good,4 cylinders,fwd,gas,blue,75000,compact,clean,manual,sedan,8500
Nissan Pathfinder LE,2007,None,None,None,None,gas,black,None,None,clean,automatic,None,7500
Dodge coronet,1965,None,good,None,None,gas,black,None,None,clean,manual,None,7500
Chevy Monte Carlo SS,2007,None,like new,8 cylinders,fwd,gas,black,109500,None,clean,automatic,coupe,7500
ford taurus,2003,None,fair,6 cylinders,fwd,gas,silver,190000,mid-size,clean,automatic,sedan,400
