make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge ram 1500 4x4,2001,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,9000
Dodge stealth,1992,None,None,None,None,gas,None,None,None,clean,manual,None,1900
2500 chevy suburban,2001,None,fair,8 cylinders,4wd,gas,black,190000,full-size,clean,automatic,SUV,2500
Ford F350,1996,None,excellent,8 cylinders,rwd,gas,black,128000,None,clean,automatic,None,5500
ford f-150,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,20000
Chevrolet prizm,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
bmw 528i,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
jeep liberty 4wd 4dr sport,2003,None,good,None,None,gas,black,None,None,clean,automatic,None,4000
Jeep Cherokee,2001,None,None,6 cylinders,4wd,gas,green,None,None,clean,automatic,None,2000
jeep grand cherokee,2016,None,like new,6 cylinders,4wd,gas,black,34441,None,clean,automatic,SUV,38997
pontiac grand prix gt,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
VW Jetta GLS TDI,2001,3VWSP69M51M176549,good,4 cylinders,fwd,diesel,black,250000,compact,clean,automatic,sedan,1580
CHEVY,1969,None,None,None,None,gas,None,None,None,clean,manual,None,2800
cadillac deville concours,1998,None,excellent,8 cylinders,fwd,gas,black,194500,None,clean,automatic,sedan,1
chevy cruze,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
toyota sequoia limited,2001,None,like new,8 cylinders,4wd,gas,black,167832,None,clean,automatic,None,5200
chevrolet tahoe,1999,None,excellent,8 cylinders,4wd,gas,None,157000,None,clean,automatic,None,3000
acura tl,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
chevy silverado,1978,None,excellent,8 cylinders,rwd,gas,white,59000,None,clean,automatic,None,9800
volkswagen passat,2003,None,good,None,fwd,gas,silver,160118,mid-size,clean,automatic,sedan,1400
lexus,2002,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,1500
ford focus,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Gmc Silverado 4x5,1994,None,good,8 cylinders,4wd,gas,green,None,None,clean,automatic,pickup,17
Fsuperduty,1995,None,None,None,None,diesel,None,None,None,clean,automatic,None,4000
Buick Lesabre,2002,None,good,6 cylinders,fwd,gas,white,170000,full-size,clean,automatic,sedan,1450
chevrolet 1500 silverado,2010,None,good,8 cylinders,4wd,gas,grey,165000,full-size,clean,automatic,truck,13500
mercedes-benz ml350,2010,None,excellent,6 cylinders,4wd,gas,silver,129057,mid-size,clean,automatic,other,13500
Honda Odyssey,2006,None,good,None,None,gas,blue,180000,None,clean,automatic,None,4950
dodge dakota,1998,None,good,8 cylinders,4wd,gas,black,73485,mid-size,clean,automatic,pickup,3000
chevrolet malibu,1998,None,good,6 cylinders,fwd,gas,None,150000,mid-size,clean,automatic,sedan,1199
chrysler sebring,2002,None,good,4 cylinders,fwd,gas,silver,176000,mid-size,clean,automatic,convertible,1650
buick rendezvous,2003,None,good,6 cylinders,fwd,gas,black,142000,mid-size,clean,automatic,SUV,2650
mercury mountaineer awd,2006,None,None,None,4wd,gas,None,None,None,clean,automatic,None,3500
ford e150 econoline,1994,None,None,None,None,gas,green,209735,None,missing,automatic,None,600
chrysler town and country,2005,None,good,None,None,gas,blue,149000,None,clean,automatic,van,1400
toyota rav4,2011,1NXBR32E07Z822739,excellent,4 cylinders,4wd,gas,green,101000,mid-size,lien,automatic,SUV,9500
Infiniti g35,2003,None,excellent,6 cylinders,rwd,gas,red,117000,full-size,clean,automatic,sedan,3900
oldsmobile cutlass ciera,1996,None,fair,6 cylinders,None,gas,None,131,None,clean,automatic,None,925
ford ranger,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
toyota,1998,None,None,None,None,gas,None,None,None,clean,manual,None,1750
oldsmobile achieva,1995,None,good,6 cylinders,fwd,gas,purple,None,mid-size,clean,automatic,None,800
Ford Ranger,2002,None,good,6 cylinders,4wd,gas,black,None,None,clean,automatic,pickup,5500
drives great,2012,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,3017
Trial Blazer,2003,None,excellent,8 cylinders,4wd,gas,brown,168000,full-size,clean,automatic,truck,3550
amc gremlin,1970,None,None,None,None,gas,None,None,None,parts only,other,None,1000
chevy cavalier,1998,None,None,None,None,gas,None,172000,None,clean,automatic,None,750
chrysler sebring convertible,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Chevy cobalt,2006,None,None,None,None,gas,None,157000,None,clean,automatic,None,2800
Pontiac grand am GT,2002,None,None,None,None,gas,None,99000,None,clean,automatic,None,2800
dodge caravan sxt,2005,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
buick rendezvous cxl,2003,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1650
kia optima lx 4dr sedan,2000,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,900
pontiac g6 gt,2007,None,like new,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,7500
