make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
nissan murano s,2014,None,None,None,None,gas,None,29200,None,clean,automatic,None,15900
GMC YUKON GT,1997,None,fair,8 cylinders,4wd,gas,purple,None,full-size,clean,automatic,truck,1600
nissan murano,2014,None,like new,6 cylinders,fwd,gas,silver,30200,None,clean,automatic,SUV,15900
ford ranger,1994,None,fair,None,None,gas,None,None,None,clean,manual,None,100500
F-250,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,3500
chevy tahoe,1999,None,excellent,8 cylinders,4wd,gas,grey,114000,full-size,clean,automatic,SUV,12000
chevy s10,1998,None,good,4 cylinders,rwd,gas,None,122000,None,clean,manual,pickup,2500
chevrolet silverado,1991,None,fair,6 cylinders,4wd,gas,red,221344,full-size,clean,automatic,truck,800
dodge ram 1500,2007,None,excellent,8 cylinders,rwd,gas,blue,28629,None,clean,automatic,pickup,14000
Mini Cooper S,2005,None,good,None,fwd,gas,green,145000,compact,clean,manual,hatchback,3200
buick lesabre custom,1999,None,None,None,None,gas,None,143000,None,clean,automatic,None,500
kia sedona,2004,None,None,None,None,gas,None,153000,None,clean,automatic,None,1100
chevy trailblazer,2002,None,excellent,6 cylinders,None,gas,None,150,None,clean,automatic,None,3400
Nissan armada 4wd,2005,None,good,8 cylinders,None,gas,None,250,None,clean,automatic,None,2400
ford explorer eddie bauer,2005,None,fair,8 cylinders,4wd,gas,red,151000,mid-size,clean,automatic,SUV,4500
ford f150 ranger,1979,None,fair,None,4wd,gas,None,None,full-size,clean,automatic,pickup,2900
Chevrolet k2500,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,2750
Chevrolet Tahoe Z71,2004,None,good,8 cylinders,4wd,gas,silver,142000,None,clean,automatic,SUV,6200
Honda CRV,2000,None,good,4 cylinders,4wd,gas,grey,136000,None,clean,automatic,None,2800
chrysler sebring convertible,2004,None,good,6 cylinders,fwd,gas,red,100000,full-size,clean,automatic,convertible,800
Gmc sonoma,1993,None,good,6 cylinders,rwd,gas,blue,112500,compact,clean,automatic,pickup,1000
ford super duty f-350 srw,2007,None,good,None,4wd,diesel,white,203500,full-size,clean,automatic,other,9800
subaru forester,2016,None,excellent,4 cylinders,4wd,gas,black,25564,None,clean,automatic,SUV,21000
Ford F150,1990,None,None,6 cylinders,4wd,gas,green,None,None,clean,manual,None,1000
jeep cherokee,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
ford f-150,2017,None,like new,6 cylinders,4wd,gas,silver,21822,full-size,clean,automatic,truck,32000
