make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevy impala lt,2007,None,good,None,None,gas,None,162000,None,clean,automatic,None,3250
Dodge,2004,None,good,6 cylinders,4wd,diesel,red,218000,full-size,clean,automatic,pickup,11500
chevrolet trailblazer,2002,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2495
Renault Convertible - Alliance L,1986,1XMAW9736GK116787,good,None,None,gas,brown,49000,compact,clean,manual,convertible,1200
Oldsmobile Cutlass Supreme,1994,None,excellent,6 cylinders,fwd,gas,red,72200,mid-size,clean,automatic,convertible,3795
lincoln navigator l,2007,None,None,None,None,gas,None,179000,None,rebuilt,automatic,SUV,10500
gmc 1500 yukon denali,1999,None,fair,8 cylinders,4wd,gas,black,234000,full-size,clean,automatic,None,3300
kia Sorento LX,2006,None,excellent,6 cylinders,None,gas,silver,None,None,clean,automatic,SUV,5500
ford f-150,2011,None,good,8 cylinders,4wd,gas,white,158000,full-size,clean,automatic,None,13900
buick lesabre custom,2001,None,excellent,None,None,gas,None,71000,None,clean,automatic,None,4950
Chrysler Sebring Tourning,2010,None,good,None,None,gas,black,53000,mid-size,clean,automatic,sedan,6500
Dodge Nitro,2007,None,None,None,None,gas,None,129000,None,clean,automatic,None,8700
jeep grand cherokee,2005,None,None,None,None,gas,None,99000,None,clean,automatic,None,8900
peterbilt 379,2007,None,None,None,None,diesel,None,None,None,clean,manual,None,60000
Smartfortwo Pure coupe,2013,None,excellent,None,None,gas,white,None,sub-compact,clean,automatic,coupe,6999
Chevy Blazer,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,650
ford f-250,2001,None,good,10 cylinders,4wd,gas,black,235000,None,clean,automatic,truck,3000
chevrolet 1500 silverado,2005,None,good,8 cylinders,4wd,gas,None,183681,None,clean,automatic,None,6000
Dodge Ram 1500,2010,None,None,None,None,gas,None,135000,None,clean,automatic,truck,18000
gmc sierra 1500,2002,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,2795
Ford F 250,1996,None,fair,8 cylinders,4wd,gas,brown,230000,None,clean,automatic,None,2500
chevy impala lt,2007,None,excellent,None,None,gas,None,145000,None,clean,automatic,None,4950
chevrolet impala,2015,2G1WB5E30F1155822,like new,6 cylinders,fwd,gas,grey,31123,mid-size,clean,automatic,sedan,14995
Ford focus,2003,None,None,None,None,gas,None,None,None,clean,manual,None,2000
ford focus,2014,None,like new,None,None,other,None,28700,None,clean,automatic,None,10900
Wrangler,1995,None,good,4 cylinders,4wd,gas,None,140500,None,clean,automatic,None,5900
Ford Focus zx5,2003,None,excellent,4 cylinders,fwd,gas,grey,72000,compact,clean,automatic,sedan,4250
chevrolet aveo,2011,None,excellent,4 cylinders,fwd,gas,red,72000,compact,clean,automatic,sedan,5950
chrysler 300c,2006,None,good,8 cylinders,rwd,gas,black,92445,full-size,clean,automatic,sedan,5900
jeep liberty 4x4,2003,1J4GL58K22W190855,good,6 cylinders,4wd,gas,silver,162224,mid-size,clean,automatic,SUV,3250
ford edge,2012,None,excellent,None,None,gas,None,131300,None,clean,automatic,None,11500
pontiac g6,2007,None,excellent,None,None,gas,None,136000,None,clean,automatic,None,4650
ford f-150 lariat,2001,None,fair,8 cylinders,4wd,gas,black,158000,full-size,clean,automatic,pickup,3000
acadia gmc,2011,None,excellent,6 cylinders,None,gas,None,64500,None,clean,automatic,SUV,13900
chevrolet cobalt,2007,None,excellent,None,None,gas,None,146000,None,clean,automatic,None,3950
Mazda 3,2007,None,excellent,4 cylinders,fwd,gas,black,106000,compact,salvage,automatic,sedan,4200
ford f-150,2010,None,excellent,None,None,gas,white,185000,None,clean,automatic,None,11000
ford f-150,2011,None,good,8 cylinders,4wd,gas,white,158000,full-size,clean,automatic,None,13900
ford e350 van,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,1200
Ford f250,1999,None,fair,8 cylinders,4wd,diesel,red,305000,full-size,clean,automatic,truck,3500
jeep cherokee,1997,None,good,6 cylinders,4wd,gas,blue,250000,compact,clean,automatic,SUV,1000
gmc acadia,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chevy impala ls,2001,None,good,6 cylinders,fwd,gas,silver,217000,full-size,clean,automatic,sedan,1500
chevrolet s10,1998,None,good,4 cylinders,rwd,gas,None,None,None,clean,manual,None,1050
chevrolet cruze 1lt auto,2013,None,excellent,None,None,gas,blue,60000,None,clean,automatic,sedan,8500
RAM Ecodiesel,2014,None,excellent,6 cylinders,None,diesel,None,None,None,lien,automatic,None,24000
rambler american,1960,None,None,None,None,gas,None,None,None,clean,manual,None,4550
Chevy HHR,2010,None,None,None,None,gas,None,173000,None,clean,automatic,None,2900
ford expedition,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
